FIPS code,State,Jurisdiction,Precincts,Total Registration,Marking Method
"0107700000","Alabama","Lauderdale County","40","50585","Hand marked paper ballots and BMDs",
"0107900000","Alabama","Lawrence County","31","21475","Hand marked paper ballots and BMDs",
"0108100000","Alabama","Lee County","16","72484","Hand marked paper ballots and BMDs",
"0108300000","Alabama","Limestone County","35","39438","Hand marked paper ballots and BMDs",
"0108500000","Alabama","Lowndes County","15","10289","Hand marked paper ballots and BMDs",
"0108700000","Alabama","Macon County","20","16279","Hand marked paper ballots and BMDs",
"0108900000","Alabama","Madison County","108","183505","Hand marked paper ballots and BMDs",
"0109100000","Alabama","Marengo County","27","14500","Hand marked paper ballots and BMDs",
"0109300000","Alabama","Marion County","23","19114","Hand marked paper ballots and BMDs",
"0109500000","Alabama","Marshall County","47","45888","Hand marked paper ballots and BMDs",
"0109700000","Alabama","Mobile County","187","235677","Hand marked paper ballots and BMDs",
"0109900000","Alabama","Monroe County","34","15818","Hand marked paper ballots and BMDs",
"0110100000","Alabama","Montgomery County","125","128476","Hand marked paper ballots and BMDs",
"0110300000","Alabama","Morgan County","58","63232","Hand marked paper ballots and BMDs",
"0110500000","Alabama","Perry County","18","8841","Hand marked paper ballots and BMDs",
"0110700000","Alabama","Pickens County","26","13142","Hand marked paper ballots and BMDs",
"0110900000","Alabama","Pike County","29","16917","Hand marked paper ballots and BMDs",
"0111100000","Alabama","Randolph County","49","15261","Hand marked paper ballots and BMDs",
"0111300000","Alabama","Russell County","21","27792","Hand marked paper ballots and BMDs",
"0111700000","Alabama","Shelby County","76","103995","Hand marked paper ballots and BMDs",
"0111500000","Alabama","St. Clair County","37","48454","Hand marked paper ballots and BMDs",
"0111900000","Alabama","Sumter County","15","9939","Hand marked paper ballots and BMDs",
"0112100000","Alabama","Talladega County","31","43750","Hand marked paper ballots and BMDs",
"0112300000","Alabama","Tallapoosa County","31","26070","Hand marked paper ballots and BMDs",
"0112500000","Alabama","Tuscaloosa County","101","93764","Hand marked paper ballots and BMDs",
"0112700000","Alabama","Walker County","47","42156","Hand marked paper ballots and BMDs",
"0112900000","Alabama","Washington County","31","13744","Hand marked paper ballots and BMDs",
"0113100000","Alabama","Wilcox County","30","9879","Hand marked paper ballots and BMDs",
"0113300000","Alabama","Winston County","24","16054","Hand marked paper ballots and BMDs",
"0200000000","Alaska","Alaska","439","466258","Hand marked paper ballots and DREs with VVPAT",
"6000000000","American Samoa","American Samoa","17","14283","Hand marked paper ballots, No accessible equipment",
"0400100000","Arizona","Apache County","45","44834","Hand marked paper ballots and DREs with VVPAT",
"0400300000","Arizona","Cochise County","64","66371","Hand marked paper ballots and BMDs",
"0400500000","Arizona","Coconino County","85","80326","Hand marked paper ballots and DREs with VVPAT",
"0400700000","Arizona","Gila County","39","34447","Hand marked paper ballots and DREs with VVPAT",
"0400900000","Arizona","Graham County","18","17813","Hand marked paper ballots and BMDs",
"0401100000","Arizona","Greenlee County","8","4660","Hand marked paper ballots and DREs with VVPAT",
"0401200000","Arizona","La Paz County","12","8930","Hand marked paper ballots and DREs with VVPAT",
"0401300000","Arizona","Maricopa County","1142","1799714","Hand marked paper ballots and DREs with VVPAT",
"0401500000","Arizona","Mohave County","73","105893","Hand marked paper ballots and DREs with VVPAT",
"0401700000","Arizona","Navajo County","70","62468","Hand marked paper ballots and DREs with VVPAT",
"0401900000","Arizona","Pima County","409","507677","Hand marked paper ballots and DREs with VVPAT",
"0402100000","Arizona","Pinal County","74","124835","Hand marked paper ballots and DREs with VVPAT",
"0402300000","Arizona","Santa Cruz County","24","22220","Hand marked paper ballots and DREs with VVPAT",
"0402500000","Arizona","Yavapai County","104","113122","Hand marked paper ballots and DREs with VVPAT",
"0402700000","Arizona","Yuma County","42","68230","Hand marked paper ballots and DREs with VVPAT",
"0500100000","Arkansas","Arkansas County","30","11835","DREs with VVPAT for all voters",
"0500300000","Arkansas","Ashley County","7","12935","Hand marked paper ballots and DREs with VVPAT",
"0500500000","Arkansas","Baxter County","41","27873","Hand marked paper ballots and DREs with VVPAT",
"0500700000","Arkansas","Benton County","83","95432","Hand marked paper ballots and DREs with VVPAT",
"0500900000","Arkansas","Boone County","27","22219","DREs with VVPAT for all voters",
"0501100000","Arkansas","Bradley County","14","6258","DREs with VVPAT for all voters",
"0501300000","Arkansas","Calhoun County","11","3814","DREs with VVPAT for all voters",
"0501500000","Arkansas","Carroll County","31","14437","Hand marked paper ballots and DREs with VVPAT",
"0501700000","Arkansas","Chicot County","13","8001","Hand marked paper ballots and DREs with VVPAT",
"0501900000","Arkansas","Clark County","30","12605","DREs with VVPAT for all voters",
"0502100000","Arkansas","Clay County","17","10742","DREs with VVPAT for all voters",
"0502300000","Arkansas","Cleburne County","34","17592","DREs with VVPAT for all voters",
"0502500000","Arkansas","Cleveland County","17","5459","DREs with VVPAT for all voters",
"0502700000","Arkansas","Columbia County","17","16926","DREs without VVPAT for all voters",
"0502900000","Arkansas","Conway County","31","13635","DREs with VVPAT for all voters",
"0503100000","Arkansas","Craighead County","23","51217","Hand marked paper ballots and DREs with VVPAT",
"0503300000","Arkansas","Crawford County","43","27664","DREs with VVPAT for all voters",
"0503500000","Arkansas","Crittenden County","23","29556","DREs with VVPAT for all voters",
"0503700000","Arkansas","Cross County","22","11651","DREs with VVPAT for all voters",
"0503900000","Arkansas","Dallas County","20","5384","DREs with VVPAT for all voters",
"0504100000","Arkansas","Desha County","21","9740","DREs with VVPAT for all voters",
"0504300000","Arkansas","Drew County","17","10402","DREs with VVPAT for all voters",
"0504500000","Arkansas","Faulkner County","49","59694","Hand marked paper ballots and DREs with VVPAT",
"0504700000","Arkansas","Franklin County","29","10336","DREs with VVPAT for all voters",
"0504900000","Arkansas","Fulton County","12","7194","DREs with VVPAT for all voters",
"0505100000","Arkansas","Garland County","67","69717","Hand marked paper ballots and DREs with VVPAT",
"0505300000","Arkansas","Grant County","19","9981","DREs with VVPAT for all voters",
"0505500000","Arkansas","Greene County","32","20597","DREs with VVPAT for all voters",
"0505700000","Arkansas","Hempstead County","28","10356","DREs with VVPAT for all voters",
"0505900000","Arkansas","Hot Spring County","37","18645","DREs with VVPAT for all voters",
"0506100000","Arkansas","Howard County","46","7360","Hand marked paper ballots and DREs with VVPAT",
"0506300000","Arkansas","Independence County","36","20735","DREs with VVPAT for all voters",
"0506500000","Arkansas","Izard County","45","7349","DREs with VVPAT for all voters",
"0506700000","Arkansas","Jackson County","45","9657","DREs with VVPAT for all voters",
"0506900000","Arkansas","Jefferson County","168","49426","DREs with VVPAT for all voters",
"0507100000","Arkansas","Johnson County","22","13785","DREs with VVPAT for all voters",
"0507300000","Arkansas","Lafayette County","20","4291","DREs with VVPAT for all voters",
"0507500000","Arkansas","Lawrence County","28","10289","Hand marked paper ballots and DREs with VVPAT",
"0507700000","Arkansas","Lee County","15","6140","Hand marked paper ballots and DREs with VVPAT",
"0507900000","Arkansas","Lincoln County","26","6791","Hand marked paper ballots and DREs with VVPAT",
"0508100000","Arkansas","Little River County","20","7880","DREs with VVPAT for all voters",
"0508300000","Arkansas","Logan County","36","13213","Hand marked paper ballots and DREs with VVPAT",
"0508500000","Arkansas","Lonoke County","55","32072","Hand marked paper ballots and DREs with VVPAT",
"0508700000","Arkansas","Madison County","26","8381","Hand marked paper ballots and DREs with VVPAT",
"0508900000","Arkansas","Marion County","35","10560","DREs with VVPAT for all voters",
"0509100000","Arkansas","Miller County","27","23321","DREs with VVPAT for all voters",
"0509300000","Arkansas","Mississippi County","71","23032","DREs with VVPAT for all voters",
"0509500000","Arkansas","Monroe County","24","5690","Hand marked paper ballots and DREs with VVPAT",
"0509700000","Arkansas","Montgomery County","16","5211","DREs with VVPAT for all voters",
"0509900000","Arkansas","Nevada County","30","5970","DREs with VVPAT for all voters",
"0510100000","Arkansas","Newton County","20","5676","Hand marked paper ballots and DREs with VVPAT",
"0510300000","Arkansas","Ouachita County","61","20293","DREs without VVPAT for all voters",
"0510500000","Arkansas","Perry County","17","6536","DREs with VVPAT for all voters",
"0510700000","Arkansas","Phillips County","72","19060","DREs with VVPAT for all voters",
"0510900000","Arkansas","Pike County","13","5678","Hand marked paper ballots and DREs with VVPAT",
"0511100000","Arkansas","Poinsett County","41","13430","Hand marked paper ballots and DREs with VVPAT",
"0511300000","Arkansas","Polk County","17","11693","DREs with VVPAT for all voters",
"0511500000","Arkansas","Pope County","56","30628","Hand marked paper ballots and DREs with VVPAT",
"0511700000","Arkansas","Prairie County","22","4774","DREs with VVPAT for all voters",
"0511900000","Arkansas","Pulaski County","137","259076","Hand marked paper ballots and DREs with VVPAT",
"0512100000","Arkansas","Randolph County","29","10382","DREs with VVPAT for all voters",
"0512500000","Arkansas","Saline County","74","58267","Hand marked paper ballots and DREs with VVPAT",
"0512700000","Arkansas","Scott County","28","6140","Hand marked paper ballots and DREs with VVPAT",
"0512900000","Arkansas","Searcy County","15","6676","DREs with VVPAT for all voters",
"0513100000","Arkansas","Sebastian County","86","62172","Hand marked paper ballots and DREs with VVPAT",
"0513300000","Arkansas","Sevier County","20","6613","Hand marked paper ballots and DREs with VVPAT",
"0513500000","Arkansas","Sharp County","25","10665","DREs with VVPAT for all voters",
"0512300000","Arkansas","St. Francis County","54","19140","Hand marked paper ballots and DREs with VVPAT",
"0513700000","Arkansas","Stone County","29","7680","Hand marked paper ballots and DREs with VVPAT",
"0513900000","Arkansas","Union County","28","29918","DREs without VVPAT for all voters",
"0514100000","Arkansas","Van Buren County","17","10060","DREs with VVPAT for all voters",
"0514300000","Arkansas","Washington County","120","87434","Hand marked paper ballots and DREs with VVPAT",
"0514500000","Arkansas","White County","87","43367","DREs with VVPAT for all voters",
"0514700000","Arkansas","Woodruff County","20","4833","DREs with VVPAT for all voters",
"0514900000","Arkansas","Yell County","28","9797","DREs with VVPAT for all voters",
"0600100000","California","Alameda County","1219","678765","Hand marked paper ballots and DREs with VVPAT",
"0600300000","California","Alpine County","5","775","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and DREs with VVPAT",
"0600500000","California","Amador County","59","20119","Hand marked paper ballots and BMDs",
"0600700000","California","Butte County","175","115659","Hand marked paper ballots and DREs with VVPAT",
"0600900000","California","Calaveras County","30","27048","Hand marked paper ballots and BMDs",
"0601100000","California","Colusa County","17","8178","Hand marked paper ballots and BMDs",
"0601300000","California","Contra Costa County","474","486441","Hand marked paper ballots and BMDs",
"0601500000","California","Del Norte County","18","12040","Hand marked paper ballots and DREs with VVPAT",
"0601700000","California","El Dorado County","150","101036","Hand marked paper ballots and DREs with VVPAT",
"0601900000","California","Fresno County","680","331968","Hand marked paper ballots and DREs with VVPAT",
"0602100000","California","Glenn County","33","11861","DREs with VVPAT for all voters",
"0602300000","California","Humboldt County","135","77903","Hand marked paper ballots and DREs with VVPAT",
"0602500000","California","Imperial County","146","52930","DREs with VVPAT for all voters",
"0602700000","California","Inyo County","74","10769","DREs with VVPAT for all voters",
"0602900000","California","Kern County","1564","289233","DREs with VVPAT for all voters",
"0603100000","California","Kings County","39","45539","DREs with VVPAT for all voters",
"0603300000","California","Lake County","45","31564","Hand marked paper ballots and DREs with VVPAT",
"0603500000","California","Lassen County","17","14314","Hand marked paper ballots and DREs with VVPAT",
"0603700000","California","Los Angeles County","5434","3914138","Hand marked paper ballots and BMDs",
"0603900000","California","Madera County","105","50066","Hand marked paper ballots and DREs with VVPAT",
"0604100000","California","Marin County","201","147311","Hand marked paper ballots and BMDs",
"0604300000","California","Mariposa County","21","11251","DREs with VVPAT for all voters",
"0604500000","California","Mendocino County","398","47825","Hand marked paper ballots and DREs with VVPAT",
"0604700000","California","Merced County","114","93728","Hand marked paper ballots and BMDs",
"0604900000","California","Modoc County","20","5559","Hand marked paper ballots and DREs with VVPAT",
"0605100000","California","Mono County","13","6418","DREs with VVPAT for all voters",
"0605300000","California","Monterey County","184","145540","DREs with VVPAT for all voters",
"0605500000","California","Napa County","115","66148","DREs with VVPAT for all voters",
"0605700000","California","Nevada County","259","63174","Hand marked paper ballots and DREs with VVPAT",
"0605900000","California","Orange County","2053","1497365","DREs with VVPAT for all voters",
"0606100000","California","Placer County","262","177539","Hand marked paper ballots and DREs with VVPAT",
"0606300000","California","Plumas County","29","12789","Hand marked paper ballots and DREs with VVPAT",
"0606500000","California","Riverside County","2857","754986","DREs with VVPAT for all voters",
"0606700000","California","Sacramento County","571","624444","Hand marked paper ballots and BMDs",
"0606900000","California","San Benito County","66","24585","DREs with VVPAT for all voters",
"0607100000","California","San Bernardino County","873","751652","DREs with VVPAT for all voters",
"0607300000","California","San Diego County","1650","1381835","DREs with VVPAT for all voters",
"0607500000","California","City and County of San Francisco","580","418285","Hand marked paper ballots and BMDs",
"0607700000","California","San Joaquin County","777","270356","DREs with VVPAT for all voters",
"0607900000","California","San Luis Obispo County","138","155495","Hand marked paper ballots and BMDs",
"0608100000","California","San Mateo County","518","350427","Hand marked paper ballots and DREs with VVPAT",
"0608300000","California","Santa Barbara County","351","183890","Hand marked paper ballots and BMDs",
"0608500000","California","Santa Clara County","1244","749866","DREs with VVPAT for all voters",
"0608700000","California","Santa Cruz County","317","142415","Hand marked paper ballots and DREs with VVPAT",
"0608900000","California","Shasta County","156","89409","DREs with VVPAT for all voters",
"0609100000","California","Sierra County","22","2219","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and DREs with VVPAT",
"0609300000","California","Siskiyou County","87","24968","Hand marked paper ballots and BMDs",
"0609500000","California","Solano County","233","163235","Hand marked paper ballots and BMDs",
"0609700000","California","Sonoma County","470","234891","Hand marked paper ballots and DREs with VVPAT",
"0609900000","California","Stanislaus County","369","207162","Hand marked paper ballots and BMDs",
"0610100000","California","Sutter County","242","39071","DREs with VVPAT for all voters",
"0610300000","California","Tehama County","59","29422","DREs with VVPAT for all voters",
"0610500000","California","Trinity County","23","7899","Hand marked paper ballots and DREs with VVPAT",
"0610700000","California","Tulare County","257","134923","Hand marked paper ballots and DREs with VVPAT",
"0610900000","California","Tuolumne County","76","32251","Hand marked paper ballots and BMDs",
"0611100000","California","Ventura County","550","391077","Hand marked paper ballots and DREs with VVPAT",
"0611300000","California","Yolo County","146","90695","DREs with VVPAT for all voters",
"0611500000","California","Yuba County","46","26657","DREs with VVPAT for all voters",
"0800100000","Colorado","Adams County","216","198186","Hand marked paper ballots and DREs with VVPAT",
"0800300000","Colorado","Alamosa County","8","8860","Hand marked paper ballots and DREs with VVPAT",
"0800500000","Colorado","Arapahoe County","372","329112","DREs without VVPAT for all voters",
"0800700000","Colorado","Archuleta County","8","9244","Hand marked paper ballots and DREs with VVPAT",
"0800900000","Colorado","Baca County","9","2963","Hand marked paper ballots and DREs with VVPAT",
"0801100000","Colorado","Bent County","6","2932","DREs with VVPAT for all voters",
"0801300000","Colorado","Boulder County","234","208179","Hand marked paper ballots and DREs with VVPAT",
"0801400000","Colorado","City and County of Broomfield","38","33251","Hand marked paper ballots and DREs with VVPAT",
"0801500000","Colorado","Chaffee County","15","12341","Hand marked paper ballots and DREs with VVPAT",
"0801700000","Colorado","Cheyenne County","5","1505","Hand marked paper ballots and DREs with VVPAT",
"0801900000","Colorado","Clear Creek County","9","7325","Hand marked paper ballots and DREs with VVPAT",
"0802100000","Colorado","Conejos County","10","5235","Hand marked paper ballots and DREs with VVPAT",
"0802300000","Colorado","Costilla County","8","2487","Hand marked paper ballots and DREs with VVPAT",
"0802500000","Colorado","Crowley County","6","2079","Hand marked paper ballots and DREs with VVPAT",
"0802700000","Colorado","Custer County","3","3245","Hand marked paper ballots and DREs with VVPAT",
"0802900000","Colorado","Delta County","20","19656","Hand marked paper ballots and DREs with VVPAT",
"0803100000","Colorado","City and County of Denver","427","353526","Vote Center Jurisdiction, DREs without VVPAT for all voters",
"0803300000","Colorado","Dolores County","4","1505","Hand marked paper ballots and DREs with VVPAT",
"0803500000","Colorado","Douglas County","138","163463","Vote Center Jurisdiction, Hand marked paper ballots and DREs with VVPAT",
"0803700000","Colorado","Eagle County","29","26673","Hand marked paper ballots and DREs with VVPAT",
"0804100000","Colorado","El Paso County","388","349638","Hand marked paper ballots and DREs with VVPAT",
"0803900000","Colorado","Elbert County","18","14847","Hand marked paper ballots and DREs with VVPAT",
"0804300000","Colorado","Fremont County","30","26297","Hand marked paper ballots and DREs with VVPAT",
"0804500000","Colorado","Garfield County","27","26631","Hand marked paper ballots and DREs with VVPAT",
"0804700000","Colorado","Gilpin County","6","4549","Hand marked paper ballots and DREs with VVPAT",
"0804900000","Colorado","Grand County","12","11244","Hand marked paper ballots and DREs with VVPAT",
"0805100000","Colorado","Gunnison County","15","12514","Hand marked paper ballots and DREs with VVPAT",
"0805300000","Colorado","Hinsdale County","4","720","Hand marked paper ballots and DREs with VVPAT",
"0805500000","Colorado","Huerfano County","12","4811","Hand marked paper ballots and DREs with VVPAT",
"0805700000","Colorado","Jackson County","6","1282","Hand marked paper ballots and DREs with VVPAT",
"0805900000","Colorado","Jefferson County","324","356157","DREs without VVPAT for all voters",
"0806100000","Colorado","Kiowa County","4","1140","DREs with VVPAT for all voters",
"0806300000","Colorado","Kit Carson County","13","4898","Hand marked paper ballots and DREs with VVPAT",
"0806700000","Colorado","La Plata County","30","36579","Hand marked paper ballots and DREs with VVPAT",
"0806500000","Colorado","Lake County","6","4814","Hand marked paper ballots and DREs with VVPAT",
"0806900000","Colorado","Larimer County","154","193590","Vote Center Jurisdiction, Hand marked paper ballots and DREs with VVPAT",
"0807100000","Colorado","Las Animas County","16","8748","Hand marked paper ballots and DREs with VVPAT",
"0807300000","Colorado","Lincoln County","12","2940","DREs with VVPAT for all voters",
"0807500000","Colorado","Logan County","18","11816","Hand marked paper ballots and DREs with VVPAT",
"0807700000","Colorado","Mesa County","82","88327","Vote Center Jurisdiction, DREs with VVPAT for all voters",
"0807900000","Colorado","Mineral County","1","820","Hand marked paper ballots and DREs with VVPAT",
"0808100000","Colorado","Moffat County","13","8437","Hand marked paper ballots and DREs with VVPAT",
"0808300000","Colorado","Montezuma County","12","16662","Hand marked paper ballots and DREs with VVPAT",
"0808500000","Colorado","Montrose County","30","22680","Hand marked paper ballots and DREs with VVPAT",
"0808700000","Colorado","Morgan County","17","13844","Hand marked paper ballots and DREs with VVPAT",
"0808900000","Colorado","Otero County","17","11877","Hand marked paper ballots and DREs with VVPAT",
"0809100000","Colorado","Ouray County","5","3765","Hand marked paper ballots and DREs with VVPAT",
"0809300000","Colorado","Park County","13","12446","Hand marked paper ballots and DREs with VVPAT",
"0809500000","Colorado","Phillips County","10","2936","DREs with VVPAT for all voters",
"0809700000","Colorado","Pitkin County","10","12936","Hand marked paper ballots and DREs with VVPAT",
"0809900000","Colorado","Prowers County","13","5627","DREs with VVPAT for all voters",
"0810100000","Colorado","Pueblo County","131","97086","Hand marked paper ballots and DREs with VVPAT",
"0810300000","Colorado","Rio Blanco County","6","4326","Hand marked paper ballots and DREs with VVPAT",
"0810500000","Colorado","Rio Grande County","15","7517","Hand marked paper ballots and DREs with VVPAT",
"0810700000","Colorado","Routt County","18","15137","Vote Center Jurisdiction, Hand marked paper ballots and DREs with VVPAT",
"0810900000","Colorado","Saguache County","9","3827","Hand marked paper ballots and DREs with VVPAT",
"0811100000","Colorado","San Juan County","2","597","Hand marked paper ballots and DREs with VVPAT",
"0811300000","Colorado","San Miguel County","6","5593","Hand marked paper ballots and DREs with VVPAT",
"0811500000","Colorado","Sedgwick County","5","1762","DREs with VVPAT for all voters",
"0811700000","Colorado","Summit County","17","21129","Hand marked paper ballots and DREs with VVPAT",
"0811900000","Colorado","Teller County","13","16894","Hand marked paper ballots and DREs with VVPAT",
"0812100000","Colorado","Washington County","8","3115","Hand marked paper ballots and DREs with VVPAT",
"0812300000","Colorado","Weld County","107","127536","Vote Center Jurisdiction, DREs with VVPAT for all voters",
"0812500000","Colorado","Yuma County","14","5987","Hand marked paper ballots and DREs with VVPAT",
"0900123890","Connecticut","Town of Easton (Fairfield County)","2","5112","Mechanical Lever Machine",
"0900148620","Connecticut","Town of Monroe (Fairfield County)","9","12429","Hand marked paper ballots and BMDs",
"0900104720","Connecticut","Town of Bethel (Fairfield County)","5","10786","Mechanical Lever Machine",
"0900108070","Connecticut","City of Bridgeport (Fairfield County)","23","58280","Mechanical Lever Machine",
"0900108980","Connecticut","Town of Brookfield (Fairfield County)","2","9483","Mechanical Lever Machine",
"0900118500","Connecticut","City of Danbury (Fairfield County)","7","30559","Mechanical Lever Machine",
"0900118850","Connecticut","Town of Darien (Fairfield County)","6","12164","Mechanical Lever Machine",
"0900126620","Connecticut","Town of Fairfield (Fairfield County)","10","34299","Mechanical Lever Machine",
"0900133620","Connecticut","Town of Greenwich (Fairfield County)","21","32844","Mechanical Lever Machine",
"0900150580","Connecticut","Town of New Canaan (Fairfield County)","17","11798","Mechanical Lever Machine",
"0900150860","Connecticut","Town of New Fairfield (Fairfield County)","3","8798","Mechanical Lever Machine",
"0900152980","Connecticut","Town of Newtown (Fairfield County)","7","15881","Hand marked paper ballots and BMDs",
"0900156060","Connecticut","City of Norwalk (Fairfield County)","1","45645","Mechanical Lever Machine",
"0900163480","Connecticut","Town of Redding (Fairfield County)","2","6395","Mechanical Lever Machine",
"0900163970","Connecticut","Town of Ridgefield (Fairfield County)","2","15516","Mechanical Lever Machine",
"0900168170","Connecticut","City of Shelton (Fairfield County)","1","24489","Mechanical Lever Machine",
"0900168310","Connecticut","Town of Sherman (Fairfield County)","4","2500","Mechanical Lever Machine",
"0900173070","Connecticut","City of Stamford (Fairfield County)","3","54540","Mechanical Lever Machine",
"0900174190","Connecticut","Town of Stratford (Fairfield County)","5","28904","Mechanical Lever Machine",
"0900177200","Connecticut","Town of Trumbull (Fairfield County)","8","23598","Mechanical Lever Machine",
"0900183430","Connecticut","Town of Weston (Fairfield County)","10","6071","Mechanical Lever Machine",
"0900183500","Connecticut","Town of Westport (Fairfield County)","2","16836","Mechanical Lever Machine",
"0900186370","Connecticut","Town of Wilton (Fairfield County)","1","11213","Hand marked paper ballots and BMDs",
"0900302060","Connecticut","Town of Avon (Hartford County)","3","11336","Mechanical Lever Machine",
"0900310100","Connecticut","Town of Burlington (Hartford County)","1","6019","Mechanical Lever Machine",
"0900324800","Connecticut","Town of East Windsor (Hartford County)","3","6450","Mechanical Lever Machine",
"0900325990","Connecticut","Town of Enfield (Hartford County)","9","25313","Mechanical Lever Machine",
"0900374540","Connecticut","Town of Suffield (Hartford County)","12","7818","Mechanical Lever Machine",
"0900304300","Connecticut","Town of Berlin (Hartford County)","5","12463","Mechanical Lever Machine",
"0900305910","Connecticut","Town of Bloomfield (Hartford County)","6","13666","Mechanical Lever Machine",
"0900308490","Connecticut","City of Bristol (Hartford County)","10","31926","Mechanical Lever Machine",
"0900312270","Connecticut","Town of Canton (Hartford County)","1","6596","Mechanical Lever Machine",
"0900322070","Connecticut","Town of East Granby (Hartford County)","1","3234","Mechanical Lever Machine",
"0900322630","Connecticut","Town of East Hartford (Hartford County)","1","24821","Hand marked paper ballots and BMDs",
"0900327600","Connecticut","Town of Farmington (Hartford County)","6","16086","Mechanical Lever Machine",
"0900331240","Connecticut","Town of Glastonbury (Hartford County)","9","21557","Mechanical Lever Machine",
"0900332640","Connecticut","Town of Granby (Hartford County)","2","6865","Mechanical Lever Machine",
"0900337070","Connecticut","City of Hartford (Hartford County)","23","44207","Mechanical Lever Machine",
"0900337140","Connecticut","Town of Hartland (Hartford County)","1","1461","Mechanical Lever Machine",
"0900344700","Connecticut","Town of Manchester (Hartford County)","2","30334","Mechanical Lever Machine",
"0900345820","Connecticut","Town of Marlborough (Hartford County)","3","4065","Mechanical Lever Machine",
"0900350440","Connecticut","City of New Britain (Hartford County)","10","30574","Mechanical Lever Machine",
"0900352140","Connecticut","Town of Newington (Hartford County)","7","18129","Hand marked paper ballots and BMDs",
"0900360120","Connecticut","Town of Plainville (Hartford County)","5","9875","Mechanical Lever Machine",
"0900365370","Connecticut","Town of Rocky Hill (Hartford County)","3","11121","Mechanical Lever Machine",
"0900368940","Connecticut","Town of Simsbury (Hartford County)","1","16134","Mechanical Lever Machine",
"0900371390","Connecticut","Town of South Windsor (Hartford County)","12","26874","Hand marked paper ballots and BMDs",
"0900370550","Connecticut","Town of Southington (Hartford County)","2","15566","Hand marked paper ballots and BMDs",
"0900382590","Connecticut","Town of West Hartford (Hartford County)","4","38044","Mechanical Lever Machine",
"0900384900","Connecticut","Town of Wethersfield (Hartford County)","9","17189","Hand marked paper ballots and BMDs",
"0900387000","Connecticut","Town of Windsor (Hartford County)","7","18168","Mechanical Lever Machine",
"0900387070","Connecticut","Town of Windsor Locks (Hartford County)","5","7322","Mechanical Lever Machine",
"0900549460","Connecticut","Town of Morris (Litchfield County)","1","1624","Mechanical Lever Machine",
